Stack1: , Stack2: >>Node1
Stack1: >>Node28>>Node27>>Node26, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34
Stack1: >>Node28>>Node27>>Node26, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35
Stack1: >>Node28>>Node27>>Node26, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35>>Node36
Stack1: >>Node28>>Node27>>Node26, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35>>Node36>>Node37
Stack1: >>Node28>>Node27>>Node26, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35>>Node36>>Node37>>Node38
Stack1: >>Node28>>Node27, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35>>Node36>>Node37>>Node38
Stack1: >>Node28>>Node27, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35>>Node36>>Node37>>Node38>>Node39
Stack1: >>Node28>>Node27, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35>>Node36>>Node37>>Node38>>Node39>>Node40
Stack1: >>Node28, Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35>>Node36>>Node37>>Node38>>Node39>>Node40
Stack1: , Stack2: >>Node29>>Node30>>Node31>>Node32>>Node33>>Node34>>Node35>>Node36>>Node37>>Node38>>Node39>>Node40
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34>>Node33>>Node32>>Node31>>Node30, Stack2: 
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34>>Node33>>Node32>>Node31, Stack2: 
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34>>Node33>>Node32>>Node31, Stack2: >>Node41
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34>>Node33>>Node32, Stack2: >>Node41
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34>>Node33>>Node32, Stack2: >>Node41>>Node42
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34>>Node33, Stack2: >>Node41>>Node42
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34>>Node33, Stack2: >>Node41>>Node42>>Node43
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34, Stack2: >>Node41>>Node42>>Node43
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34, Stack2: >>Node41>>Node42>>Node43>>Node44
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35>>Node34, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36>>Node35, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47
Stack1: >>Node40>>Node39>>Node38>>Node37>>Node36, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47
Stack1: >>Node40>>Node39>>Node38>>Node37, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47
Stack1: >>Node40>>Node39>>Node38, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47
Stack1: >>Node40>>Node39, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47
Stack1: >>Node40, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47
Stack1: >>Node40, Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47>>Node48
Stack1: , Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47>>Node48
Stack1: , Stack2: >>Node41>>Node42>>Node43>>Node44>>Node45>>Node46>>Node47>>Node48>>Node49
Stack1: >>Node49>>Node48>>Node47>>Node46>>Node45>>Node44>>Node43>>Node42, Stack2: 
Stack1: >>Node49>>Node48>>Node47>>Node46>>Node45>>Node44>>Node43, Stack2: 
Stack1: >>Node49>>Node48>>Node47>>Node46>>Node45>>Node44, Stack2: 
Stack1: >>Node49>>Node48>>Node47>>Node46>>Node45>>Node44, Stack2: >>Node50
Stack1: >>Node49>>Node48>>Node47>>Node46>>Node45>>Node44, Stack2: >>Node50>>Node51
Stack1: >>Node49>>Node48>>Node47>>Node46>>Node45>>Node44, Stack2: >>Node50>>Node51>>Node52
Stack1: >>Node49>>Node48>>Node47>>Node46>>Node45, Stack2: >>Node50>>Node51>>Node52
Stack1: >>Node49>>Node48>>Node47>>Node46, Stack2: >>Node50>>Node51>>Node52
Stack1: >>Node49>>Node48>>Node47, Stack2: >>Node50>>Node51>>Node52
Stack1: >>Node49>>Node48>>Node47, Stack2: >>Node50>>Node51>>Node52>>Node53
Stack1: >>Node49>>Node48, Stack2: >>Node50>>Node51>>Node52>>Node53
